comparison_id,query_id,topic,baseline,goal,assistant_1_system,assistant_2_system,answer_a_path,answer_b_path,answer_a_preview,answer_b_preview
human__ai_scientist_v2__q12,12,Factual consistency,AI Scientist-v2,Generate a research proposal on how to resolve factual consistency issues in Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_12/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_12/answer.txt,Research Proposal: Self-Consistency Training via Automated Factual Hard-Negative Generation## Title FiND — Factual Negative Distillation: Improving LLM Factual Consistency via Self-Generated Hard Negatives ---------------------------------------------------...,# Latent Factual Alignment: Steering LLM Representations with Knowledge Graph Embeddings for Consistent Generation Short Hypothesis: We hypothesize that by aligning the internal hidden states of a large language model with the structured representations of ...
human__ai_scientist_v2__q13,13,Data synthesis,AI Scientist-v2,Generate a research proposal on data synthesis for code LLMs.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_13/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_13/answer.txt,Research Proposal: Synthesizing Failure-to-Repair Trajectories for Improving Code LLM Reasoning## Title Trajectory-for-Code: Self-Supervised Synthesis of Debugging Trajectories for Robust Code Generation -----------------------------------------------------...,"# EGCS: Execution-Guided Counterfactual Synthesis for Training Semantically-Aware Code LLMs Short Hypothesis: Current synthetic data generation for code LLMs focuses on surface-level code transformations (rephrasing, AST mutations, textbook generation) that..."
human__ai_scientist_v2__q14,14,Inference efficiency,AI Scientist-v2,Generate a research proposal on solving inference latency issues in Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_14/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_14/answer.txt,Research Proposal: Sensitivity-Guided Dynamic Precision Allocation for LLM Inference## Title DyPrec: Sensitivity-Guided Dynamic Precision Allocation for Latency-Optimized LLM Inference ------------------------------------------------------------------------...,"# EGALS: Entropy-Guided Adaptive Layer Skipping for Efficient LLM Inference Short Hypothesis: The layer-wise decay rate of attention entropy reliably predicts token difficulty, allowing us to dynamically skip later layers for easy tokens without significant..."
human__ai_scientist_v2__q15,15,Machine translation,AI Scientist-v2,Generate a research proposal on debiasing in machine translation.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_15/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_15/answer.txt,Research Proposal: Counterfactual Data Augmentation for Mitigating Gender Bias in Neural Machine Translation## Title Counterfactual Data Augmentation with Source-Side Control for Mitigating Occupational Gender Bias in Neural Machine Translation Problem Neur...,"# Unlearning Bias in Translation: Contrastive Attention Debiasing for Gender-Fair Machine Translation Short Hypothesis: Gender bias in machine translation (e.g., stereotypical pronoun assignments) can be substantially reduced by fine-tuning only the attenti..."
human__ai_scientist_v2__q16,16,Knowledge injection,AI Scientist-v2,Generate a research proposal on addressing the challenges of knowledge injection in domain-specific Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_16/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_16/answer.txt,Research Proposal: Adaptive Knowledge Injection via Confidence-Gated Adapter Fusion for Domain-Specific LLMs## Title Confidence-Gated Adapter Fusion for Mitigating Knowledge Conflicts During Domain-Specific LLM Injection Problem Domain-specific LLM deployme...,"# Adaptive Knowledge Refresh via Differentiable Memory Replay for Domain-Specific LLMs Short Hypothesis: A lightweight, differentiable memory module that can be incrementally updated via replay-based gradient updates can keep domain-specific LLMs current wi..."
human__ai_scientist_v2__q17,17,Information extraction,AI Scientist-v2,Generate a research proposal on automated information extraction.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_17/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_17/answer.txt,Research Proposal: Schema-Constrained Open Information Extraction with Progressive Self-Correction## Title Schema-Constrained Open IE via Progressive Self-Correction: Extracting Arbitrary Relation Tuples from Unstructured Text Without Hand-Labeled Training ...,"# Extracting Information by Learning to Bridge Counterfactual Knowledge Graph Gaps Short Hypothesis: Current information extraction (IE) systems treat documents as static facts, failing to leverage what is *not* said. I hypothesize that explicitly modeling ..."
human__ai_scientist_v2__q18,18,UX evaluation,AI Scientist-v2,Generate a research proposal on user experience evaluation for Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_18/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_18/answer.txt,Research Proposal: Systematic Comparison of UX Evaluation Methods for LLM-Based Conversational Agents## Title Evaluating the Evaluators: A Comparative Study of User Experience Assessment Methods for LLM-Based Conversational Agents Problem User experience (U...,"# Emotion-Aware UX Evaluation for LLMs: Detecting Latent Frustration via Behavioral Biometrics Short Hypothesis: Latent user frustration, detected non-intrusively via keystroke dynamics and mouse movement patterns during LLM interactions, provides a more se..."
human__ai_scientist_v2__q19,19,Evaluation leaderboards,AI Scientist-v2,Generate a research proposal on how to construct efficient leaderboards for LLM evaluation.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_19/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_19/answer.txt,Research Proposal: Adaptive Bayesian Leaderboards — Efficient LLM Evaluation via Active Sampling## Title Adaptive Bayesian Leaderboards: Accelerating LLM Evaluation via Active Benchmark Selection -------------------------------------------------------------...,"# Bayesian Adaptive Leaderboards: Optimal Experiment Design for Efficient LLM Evaluation Short Hypothesis: We hypothesize that by framing leaderboard construction as a Bayesian optimal experimental design problem, we can achieve accurate model rankings with..."
human__ai_scientist_v2__q20,20,Text generation,AI Scientist-v2,Generate a research proposal on the evaluation of diversity in text generation.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_20/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_20/answer.txt,"Research Proposal: Evaluating Context-Appropriate Diversity in Neural Text Generation## Title CoDE: A Context-Dependent Diversity Evaluation Framework for Open-Ended Text Generation Problem Existing diversity metrics for text generation (Distinct-n, Self-BL...","# PID: Per-Input Diversity – A New Lens for Evaluating Text Generation Diversity Short Hypothesis: Current corpus-level diversity metrics (e.g., distinct-n, self-BLEU) conflate per-input diversity (variety for the same prompt) with cross-input diversity (va..."
human__ai_scientist_v2__q21,21,Content detection,AI Scientist-v2,Generate a research proposal on how to address false positives in AI-generated content detection.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_21/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_21/answer.txt,Research Proposal: Robust AI-Generated Content Detection via Adversarially-Calibrated Uncertainty Estimation (R-ACE) -------------------------------------------------------------------------------- Title R-ACE: Reducing False Positives in AI-Generated Conte...,# Adversarial Paraphrase Calibration: Reducing False Positives in AI-Generated Text Detection via Controlled Human-Like Perturbations Short Hypothesis: Many false positives in AI-generated text detection arise because detectors are overly sensitive to surfa...
human__ai_scientist_v2__q22,22,Code LLM security,AI Scientist-v2,Generate a research proposal on the security of code LLMs.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_22/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_22/answer.txt,Research Proposal: TrojanCode — Stealthy Backdoor Attacks on Code LLMs via Docstring-Embedded Triggers## Title TrojanCode: Instruction-Selective Backdoor Attacks on Code Large Language Models via Docstring-Embedded Triggers ---------------------------------...,"# The Ghost in the Code: Implanting Semantic Backdoors in Code LLMs via Dead-Code Patterns Short Hypothesis: We hypothesize that a stealthy, highly persistent backdoor can be inserted into a code LLM by poisoning training data with a specific pattern of *de..."
human__ai_scientist_v2__q23,23,Code LLM evaluation,AI Scientist-v2,Generate a research proposal on how to build a deep evaluation framework for code LLMs.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_23/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_23/answer.txt,Research Proposal: DeepEval — A Multi-Dimensional Evaluation Framework for Code LLMs### Title DeepEval: Beyond Functional Correctness — A Multi-Dimensional Evaluation Framework for Code LLMs ------------------------------------------------------------------...,# CodeMut: A Mutation-Testing Inspired Framework for Deep Evaluation of Code LLMs Beyond Functional Correctness Short Hypothesis: Current code LLM evaluations rely on functional correctness (pass@k) which is brittle and fails to capture model understanding ...
human__ai_scientist_v2__q24,24,RAG,AI Scientist-v2,Generate a research proposal on solving multi-hop reasoning challenges in Retrieval-Augmented Generation (RAG).,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_24/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_24/answer.txt,"Title: Graph-Guided Iterative Retrieval with Structured Decomposition for Multi-Hop RAGProblem Standard RAG pipelines retrieve documents in a single flat pass and then generate an answer. For multi-hop questions (e.g., ""Which university did the president of...","# Dynamic Retrieval via Reasoning Paths: Solving Multi-Hop RAG with Iterative Query Refinement Short Hypothesis: Current RAG systems for multi-hop reasoning often retrieve all documents at once or in a fixed order, missing the opportunity to use intermediat..."
human__ai_scientist_v2__q25,25,Multi-source reasoning,AI Scientist-v2,Generate a research proposal on complex reasoning with multi-source information.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_25/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_25/answer.txt,Research Proposal: Conflict-Aware Multi-Source Reasoning### Title Conflict-Aware Multi-Source Reasoning: Detecting and Resolving Information Conflicts in Retrieval-Augmented Generation ------------------------------------------------------------------------...,"# Reasoning Through Conflict: Learning to Resolve Multi-Source Information via Graph-Based Contradiction Resolution Short Hypothesis: Current multi-source reasoning systems (e.g., retrieval-augmented models, multi-hop QA) typically fuse information by avera..."
human__ai_scientist_v2__q26,26,Data filtering,AI Scientist-v2,Generate a research proposal on solving data filtering challenges for domain-specific models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_26/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_26/answer.txt,Research Proposal: Adaptive Difficulty Filtering for Domain-Specific Language Model Pretraining## Title AdaFilter: Adaptive Difficulty-Aware Data Filtering for Domain-Specific Language Model Pretraining ------------------------------------------------------...,"# Uncertainty-Guided Data Filtering: Using a Small Domain Expert to Curate Pretraining Data for Large Models Short Hypothesis: A small, pre-trained domain-specific model can serve as an effective data filter for pretraining a larger model by identifying and..."
human__ai_scientist_v2__q27,27,Long-context understanding,AI Scientist-v2,Generate a research proposal on how to enhance the long-context understanding of Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_27/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_27/answer.txt,Research Proposal: Structured Memory Banks for Long-Context Grounding in LLMs## Title Memory-Augmented Hierarchical Summarization (MAHS): Improving Long-Context Grounding Without Full Attention Retraining ----------------------------------------------------...,# Attention Anchors: A Curriculum Learning Approach for Emergent Long-Context Understanding in LLMs Short Hypothesis: Standard autoregressive language models fail to generalize to long contexts because they are trained with a uniform next-token prediction l...
human__ai_scientist_v2__q28,28,Alignment,AI Scientist-v2,Generate a research proposal on cross-cultural alignment for Large Language Models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_28/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_28/answer.txt,"Title: CULTURAL-PREF: Preference Tuning with Culturally-Grounded Contrastive Examples for Cross-Cultural LLM AlignmentProblem. Current RLHF/DPO alignment pipelines overwhelmingly use preference data annotated by English-speaking, Western raters. This produc...","# Cultural Value Arbitration: Deliberative Prompting for Pluralistic LLM Alignment Short Hypothesis: Current LLM alignment methods impose a single, often Western-centric value system. We hypothesize that by explicitly generating and then deliberating over m..."
human__ai_scientist_v2__q29,29,Alignment,AI Scientist-v2,Generate a research proposal on value alignment for AI agents.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_29/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_29/answer.txt,Research Proposal: Steering Vector–Based Value Control in Large Language Models## Title Value Steering Without Fine-Tuning: Representation Engineering for Controllable AI Alignment ----------------------------------------------------------------------------...,"# Adversarial Preference Refinement: Learning Human Values Through Active Query Generation Short Hypothesis: Current value alignment methods (RLHF, IRL) assume human preferences are static and can be elicited through passive queries. We hypothesize that hum..."
human__ai_scientist_v2__q30,30,Audio foundation models,AI Scientist-v2,Help me generate a research proposal on general-purpose audio foundation models.,EvoScientist,AI Scientist-v2,reproduction/artifacts/idea_outputs/EvoScientist/query_30/answer.txt,reproduction/artifacts/idea_outputs/AI Scientist-v2/query_30/answer.txt,Research Proposal: Reproducing and Extending Masked Audio Modeling for General-Purpose Audio Foundation Models## Title Are Masked Autoencoders Sufficient for General-Purpose Audio Representation Learning? A Reproducibility and Extension Study of AudioMAE --...,# Learning General-Purpose Audio Representations by Minimizing Conditional Entropy of Augmented Views Short Hypothesis: We hypothesize that a powerful and general-purpose audio foundation model can be learned by simply minimizing the conditional entropy of ...
human__novix__q01,1,Machine translation,Novix,Generate a research proposal on low-resource machine translation.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_01/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_01/answer.txt,Research Proposal: Cross-Lingual Contrastive Retrieval for Low-Resource Neural Machine Translation## Title CREST-MT: Cross-Lingual Contrastive Retrieval-Augmented Fine-Tuning for Low-Resource Machine Translation ---------------------------------------------...,**1. Title** Iterative Semantic-Consistent Back-Translation (ISC-BT): Enhancing Low-Resource NMT via Cross-Lingual Embedding Alignment and Quality-Aware Filtering. **2. Problem and Motivation** Neural Machine Translation (NMT) typically requires millions of...
human__novix__q02,2,Software engineering,Novix,Help me generate a research proposal on AI for software engineering.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_02/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_02/answer.txt,Research Proposal: Self-Specification Alignment for LLM-Generated Code## Title Self-Specification Alignment: Closing the Validation Loop for LLM Code Generation Using Automatically Generated Behavioral Oracles -----------------------------------------------...,**Title:** Graph-Augmented Iterative Refinement (GAIR): Enhancing Repository-Wide Code Refactoring via Static Analysis Feedback Loops **Problem and Motivation** Large Language Models (LLMs) have demonstrated proficiency in generating localized code snippets...
human__novix__q03,3,LLM evaluation,Novix,Generate a research proposal on how to address the accuracy issues of automated evaluation for Large Language Models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_03/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_03/answer.txt,Research Proposal: Addressing Accuracy Issues in Automated LLM Evaluation--- Title Calibrated Ensemble Evaluation (CEE): Improving LLM-as-a-Judge Accuracy through Uncertainty-Aware Multi-Model Deliberation ---------------------------------------------------...,### 1. Title **Multi-Perspective Reasoning Calibration (MPRC): Improving LLM-as-a-Judge Accuracy via Structured Rationalization and Uncertainty-Aware Weighting** ### 2. Problem and Motivation Automated evaluation using Large Language Models (LLM-as-a-judge)...
human__novix__q04,4,Healthcare agents,Novix,Help me generate a research proposal on AI agents in healthcare.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_04/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_04/answer.txt,Research Proposal: Multi-Agent LLM Systems for Clinical Trial Eligibility Screening## Title TrialMatch: A Structured Multi-Agent Debate Framework for Zero-Shot Clinical Trial Eligibility Screening ------------------------------------------------------------...,"**Title:** MedReflect: A Multi-Step Self-Correcting Agentic Framework for Evidence-Based Differential Diagnosis **Problem and Motivation** Current Large Language Models (LLMs) used in clinical settings often suffer from ""anchoring bias"" and ""hallucinated re..."
human__novix__q05,5,Literature review automation,Novix,Generate a research proposal on automated literature review generation.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_05/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_05/answer.txt,Title: Structured Critical Literature Review Generation via Hierarchical Contradiction-Aware Synthesis--- Problem Current automated literature review systems (LLM-based or retrieval-augmented) produce fluent but shallow summaries — they list findings paper-...,**1. Title** Hierarchical Multi-Agent Synthesis (H-MAS): A Structured Planning and Critique Framework for Systematic Literature Reviews. **2. Problem and Motivation** Current Large Language Model (LLM) approaches to automated literature review generation of...
human__novix__q06,6,Speech recognition,Novix,Generate a research proposal on low-resource speech recognition.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_06/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_06/answer.txt,Research Proposal: Confidence-Gated Iterative Pseudo-Labeling with Phoneme-Constrained Augmentation for Low-Resource ASRTitle: Semi-Supervised Self-Training with Audited Pseudo-Labels and Phoneme-Preserving Augmentation for Under-10-Hour Speech Recognition-...,### 1. Title **Phonetic Anchor Adapters: Leveraging Universal Phonetic Bottlenecks for Cross-Lingual Transfer in Low-Resource ASR** ### 2. Problem and Motivation State-of-the-art Automatic Speech Recognition (ASR) systems typically require thousands of hour...
human__novix__q07,7,Model efficiency,Novix,Generate a research proposal on how to break the performance ceiling of small models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_07/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_07/answer.txt,-------------------------------------------------------------------------------- Research Proposal: Breaking the Performance Ceiling of Small Language Models via Targeted Capacity Allocation## Title Beyond Scaling Alone: Targeted Capacity Allocation for Bre...,"**1. Title** Dynamic Recurrent Refinement (DRR): Extending the Reasoning Horizon of Small Language Models via Iterative Latent Distillation. **2. Problem and Motivation** Small Language Models (SMLMs), typically defined as having fewer than 3 billion parame..."
human__novix__q08,8,AI agents,Novix,Generate a research proposal on complex reasoning for AI agents.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_08/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_08/answer.txt,"Research Proposal: Compositional Reasoning Under Distraction — When Do Agentic Workflows Break Down? Title**""Plan-Trace-Verify: A Controlled Study of Multi-Step Compositional Reasoning in LLM Agents Under Distractor Conditions""** ---------------------------...","### 1. Title **Recursive State-Space Verification (RSV): Mitigating Error Propagation in Multi-Step Agentic Reasoning** ### 2. Problem and Motivation Large Language Models (LLMs) frequently exhibit ""logical drift"" in complex, multi-step tasks. While techniq..."
human__novix__q09,9,Model deployment,Novix,Generate a research proposal on solving quantization challenges for LLM deployment on edge devices.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_09/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_09/answer.txt,"Title: Mixed-Precision Differentiable Quantization via Adaptive Bit Allocation for LLM Deployment on Edge DevicesProblem Deploying large language models (LLMs) on edge devices (phones, IoT, embedded systems) is bottlenecked by memory bandwidth and power. Cu...","### 1. Title **LEAQ: Layer-wise Entropy-Aware Quantization for Mixed-Precision Edge Deployment** ### 2. Problem and Motivation Deploying Large Language Models (LLMs) on edge devices (e.g., mobile SoCs, embedded NPUs) faces a critical trade-off between model..."
human__novix__q10,10,Text-to-SQL,Novix,Help me generate a research proposal on Text-to-SQL.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_10/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_10/answer.txt,Research Proposal: Schema-Aware Decomposition for Complex Text-to-SQL on Large-Scale Databases## Title Schema-Aware Decomposition: Robust Text-to-SQL on Large-Scale Databases via Progressive Pruning and Incremental Construction -----------------------------...,"This research proposal serves as a baseline proxy for an autonomous research assistant (Novix), focusing on a structured, iterative approach to the Text-to-SQL task. ### 1. Title **Iterative Sub-Graph Pruning (ISGP): Enhancing Text-to-SQL for Large-Scale Da..."
human__novix__q11,11,LLM capabilities,Novix,Generate a research proposal on the decoupling of Large Language Model capabilities.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_11/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_11/answer.txt,Research Proposal: Disentangling Knowledge from Reasoning in LLMs via Controlled Representation Intervention## Title Disentangling Knowledge and Reasoning Pathways in LLMs: A Representation-Intervention Framework for Capability Decoupling Problem Large Lang...,"### 1. Title **Selective Subspace Projection (SSP): Decoupling Factual Association from Logical Inference in Large Language Models** ### 2. Problem and Motivation Current Large Language Models (LLMs) are monolithic: factual knowledge (e.g., ""The capital of ..."
human__novix__q12,12,Factual consistency,Novix,Generate a research proposal on how to resolve factual consistency issues in Large Language Models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_12/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_12/answer.txt,Research Proposal: Self-Consistency Training via Automated Factual Hard-Negative Generation## Title FiND — Factual Negative Distillation: Improving LLM Factual Consistency via Self-Generated Hard Negatives ---------------------------------------------------...,"### 1. Title **Contrastive Evidence-Weighting (CEW): A Multi-Stage Verification Framework for Resolving Parametric-Contextual Conflicts in LLMs** ### 2. Problem and Motivation Large Language Models (LLMs) frequently exhibit ""hallucinations"" where they prior..."
human__novix__q13,13,Data synthesis,Novix,Generate a research proposal on data synthesis for code LLMs.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_13/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_13/answer.txt,Research Proposal: Synthesizing Failure-to-Repair Trajectories for Improving Code LLM Reasoning## Title Trajectory-for-Code: Self-Supervised Synthesis of Debugging Trajectories for Robust Code Generation -----------------------------------------------------...,"### 1. Title **SER-Code: Synthesize-Execute-Refine Trajectories for Grounded Code Data Generation** ### 2. Problem and Motivation Current synthetic data generation for code LLMs (e.g., Self-Instruct or Evol-Instruct) often focuses on ""Instruction-to-Code"" p..."
human__novix__q14,14,Inference efficiency,Novix,Generate a research proposal on solving inference latency issues in Large Language Models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_14/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_14/answer.txt,Research Proposal: Sensitivity-Guided Dynamic Precision Allocation for LLM Inference## Title DyPrec: Sensitivity-Guided Dynamic Precision Allocation for Latency-Optimized LLM Inference ------------------------------------------------------------------------...,"**1. Title** Adaptive Layer-Pruning for Speculative Decoding: A Self-Drafting Framework for Low-Latency Inference **2. Problem and Motivation** The primary bottleneck in Large Language Model (LLM) inference is the autoregressive nature of decoding, which is..."
human__novix__q15,15,Machine translation,Novix,Generate a research proposal on debiasing in machine translation.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_15/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_15/answer.txt,Research Proposal: Counterfactual Data Augmentation for Mitigating Gender Bias in Neural Machine Translation## Title Counterfactual Data Augmentation with Source-Side Control for Mitigating Occupational Gender Bias in Neural Machine Translation Problem Neur...,"### 1. Title **Contrastive Counterfactual Fine-Tuning (CCFT): Mitigating Gender Bias in Machine Translation via Latent Space Alignment** ### 2. Problem and Motivation Machine Translation (MT) systems frequently perpetuate societal biases, particularly gende..."
human__novix__q16,16,Knowledge injection,Novix,Generate a research proposal on addressing the challenges of knowledge injection in domain-specific Large Language Models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_16/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_16/answer.txt,Research Proposal: Adaptive Knowledge Injection via Confidence-Gated Adapter Fusion for Domain-Specific LLMs## Title Confidence-Gated Adapter Fusion for Mitigating Knowledge Conflicts During Domain-Specific LLM Injection Problem Domain-specific LLM deployme...,"### 1. Title **Dynamic Knowledge-Anchored Adapters (DKAA): Mitigating Catastrophic Forgetting in Domain-Specific Knowledge Injection** ### 2. Problem and Motivation Large Language Models (LLMs) often struggle with ""knowledge injection""—the process of updati..."
human__novix__q17,17,Information extraction,Novix,Generate a research proposal on automated information extraction.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_17/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_17/answer.txt,Research Proposal: Schema-Constrained Open Information Extraction with Progressive Self-Correction## Title Schema-Constrained Open IE via Progressive Self-Correction: Extracting Arbitrary Relation Tuples from Unstructured Text Without Hand-Labeled Training ...,**1. Title** Self-Correcting Iterative Schema Alignment (SCISA): Improving Information Extraction through Multi-Agent Critique Loops in Small Language Models. **2. Problem and Motivation** Automated Information Extraction (IE) is often bottlenecked by two f...
human__novix__q18,18,UX evaluation,Novix,Generate a research proposal on user experience evaluation for Large Language Models.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_18/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_18/answer.txt,Research Proposal: Systematic Comparison of UX Evaluation Methods for LLM-Based Conversational Agents## Title Evaluating the Evaluators: A Comparative Study of User Experience Assessment Methods for LLM-Based Conversational Agents Problem User experience (U...,### 1. Title **Quantifying Interaction Friction: A Multi-Dimensional Framework for Evaluating LLM User Experience in Iterative Task Refinement.** ### 2. Problem and Motivation Current Large Language Model (LLM) evaluations primarily focus on static benchmar...
human__novix__q19,19,Evaluation leaderboards,Novix,Generate a research proposal on how to construct efficient leaderboards for LLM evaluation.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_19/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_19/answer.txt,Research Proposal: Adaptive Bayesian Leaderboards — Efficient LLM Evaluation via Active Sampling## Title Adaptive Bayesian Leaderboards: Accelerating LLM Evaluation via Active Benchmark Selection -------------------------------------------------------------...,"### 1. Title **Infogain-Eval: Information-Theoretic Active Sampling for Resource-Efficient LLM Leaderboards** ### 2. Problem and Motivation Current LLM leaderboards (e.g., LMSYS Chatbot Arena) rely on massive amounts of pairwise comparisons to generate Elo ..."
human__novix__q20,20,Text generation,Novix,Generate a research proposal on the evaluation of diversity in text generation.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_20/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_20/answer.txt,"Research Proposal: Evaluating Context-Appropriate Diversity in Neural Text Generation## Title CoDE: A Context-Dependent Diversity Evaluation Framework for Open-Ended Text Generation Problem Existing diversity metrics for text generation (Distinct-n, Self-BL...",### 1. Title **Multi-Facet Diversity Decomposition (MFDD): A Holistic Framework for Evaluating Generative Variance** ### 2. Problem and Motivation Current diversity metrics for Large Language Models (LLMs) are often reductive. Standard metrics like **Distin...
human__novix__q21,21,Content detection,Novix,Generate a research proposal on how to address false positives in AI-generated content detection.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_21/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_21/answer.txt,Research Proposal: Robust AI-Generated Content Detection via Adversarially-Calibrated Uncertainty Estimation (R-ACE) -------------------------------------------------------------------------------- Title R-ACE: Reducing False Positives in AI-Generated Conte...,### 1. Title **U-Calibrate: Reducing False Positives in AI Detection via Cross-Domain Uncertainty Calibration and Stylistic Sensitivity** ### 2. Problem and Motivation Current AI-generated content (AIGC) detectors—whether based on supervised classifiers (e....
human__novix__q22,22,Code LLM security,Novix,Generate a research proposal on the security of code LLMs.,EvoScientist,Novix,reproduction/artifacts/idea_outputs/EvoScientist/query_22/answer.txt,reproduction/artifacts/idea_outputs/Novix/query_22/answer.txt,Research Proposal: TrojanCode — Stealthy Backdoor Attacks on Code LLMs via Docstring-Embedded Triggers## Title TrojanCode: Instruction-Selective Backdoor Attacks on Code Large Language Models via Docstring-Embedded Triggers ---------------------------------...,**Research Proposal: Contextual Poisoning – Vulnerability Injection in Code LLMs via Adversarial Documentation** ### 1. Title Contextual Poisoning: Investigating Vulnerability Injection in Code LLMs via Adversarial Documentation and RAG Contexts. ### 2. Pro...
